taille;2;4;8;16
16;0.764;0.901;0.861;0.099
32;0.757;1.259;1.725;0.983
64;0.940;1.786;2.056;1.268
128;0.853;1.720;2.144;2.107
256;0.989;1.947;3.907;7.720
512;1.334;2.524;4.802;3.725
1024;1.206;1.995;3.176;5.059
